method,pdt,repl,type,mrae
trmf,0.2,49,overall,0.257392462831229
trmf,0.2,49,w,0.4639313750424885
trmf,0.2,49,o,8.912579426490375e-05
trmf,0.2,5,overall,0.26439663339618097
trmf,0.2,5,w,0.4759862649443877
trmf,0.2,5,o,9.16727190257802e-05
trmf,0.2,50,overall,0.25877252485420754
trmf,0.2,50,w,0.46583648398056443
trmf,0.2,50,o,8.322726910503022e-05
trmf,0.2,51,overall,0.2565269840196665
trmf,0.2,51,w,0.4615286861454534
trmf,0.2,51,o,8.989548390084194e-05
trmf,0.2,52,overall,0.26183568291243087
trmf,0.2,52,w,0.4714823982276978
trmf,0.2,52,o,8.821313290218397e-05
trmf,0.2,53,overall,0.26381420841852615
trmf,0.2,53,w,0.47537833291203485
trmf,0.2,53,o,8.209225104410494e-05
trmf,0.2,54,overall,0.26002500507322396
trmf,0.2,54,w,0.46859635700455626
trmf,0.2,54,o,9.154488475323528e-05
trmf,0.2,55,overall,0.26292996091302917
trmf,0.2,55,w,0.4735643389628479
trmf,0.2,55,o,8.607204737442852e-05
trmf,0.2,56,overall,0.26032482486718433
trmf,0.2,56,w,0.4688968485609188
trmf,0.2,56,o,9.696857355164945e-05
trmf,0.2,57,overall,0.26253908508729984
trmf,0.2,57,w,0.4735344007278371
trmf,0.2,57,o,9.215417726147926e-05
trmf,0.2,58,overall,0.2611851095402158
trmf,0.2,58,w,0.4705083484735901
trmf,0.2,58,o,9.522700819916838e-05
trmf,0.2,59,overall,0.26222934692010563
trmf,0.2,59,w,0.47222874901100137
trmf,0.2,59,o,8.261611433721354e-05
trmf,0.2,6,overall,0.26593513464641416
trmf,0.2,6,w,0.47919308095964763
trmf,0.2,6,o,8.356588759605554e-05
trmf,0.2,60,overall,0.26685038659311394
trmf,0.2,60,w,0.4810327896801287
trmf,0.2,60,o,9.277593887589145e-05
trmf,0.2,61,overall,0.25796181386547756
trmf,0.2,61,w,0.4652543008269036
trmf,0.2,61,o,8.63947019227951e-05
trmf,0.2,62,overall,0.2590142562076475
trmf,0.2,62,w,0.4665445663426053
trmf,0.2,62,o,8.697127465654235e-05
trmf,0.2,63,overall,0.25864224442810535
trmf,0.2,63,w,0.4656198500703482
trmf,0.2,63,o,8.756763384629714e-05
trmf,0.2,64,overall,0.26032501245124273
trmf,0.2,64,w,0.46861632149858407
trmf,0.2,64,o,8.369637910998866e-05
trmf,0.2,65,overall,0.2577682711489727
trmf,0.2,65,w,0.46413197137450185
trmf,0.2,65,o,8.576913559843368e-05
trmf,0.2,66,overall,0.2590136642552167
trmf,0.2,66,w,0.46717159300397687
trmf,0.2,66,o,9.688244119778405e-05
trmf,0.2,67,overall,0.26033991809929835
trmf,0.2,67,w,0.46898503481519266
trmf,0.2,67,o,9.5860670152498e-05
trmf,0.2,68,overall,0.2609420633799393
trmf,0.2,68,w,0.469986604415934
trmf,0.2,68,o,8.381951542224062e-05
trmf,0.2,69,overall,0.26187800070226763
trmf,0.2,69,w,0.47182691996006954
trmf,0.2,69,o,8.74818580654383e-05
trmf,0.2,7,overall,0.2580332597041903
trmf,0.2,7,w,0.46502494632091845
trmf,0.2,7,o,8.863951870647721e-05
trmf,0.2,70,overall,0.25675761342364734
trmf,0.2,70,w,0.4624762940227898
trmf,0.2,70,o,8.891620908671735e-05
trmf,0.2,71,overall,0.2605892555310781
trmf,0.2,71,w,0.46998667438011504
trmf,0.2,71,o,8.834244408708143e-05
trmf,0.2,72,overall,0.26269618431770914
trmf,0.2,72,w,0.4733825492372391
trmf,0.2,72,o,8.798736051613413e-05
trmf,0.2,73,overall,0.2666962900327435
trmf,0.2,73,w,0.4801656069938644
trmf,0.2,73,o,8.602393296738133e-05
trmf,0.2,74,overall,0.2565783938899905
trmf,0.2,74,w,0.4623127913935301
trmf,0.2,74,o,8.747367565796773e-05
trmf,0.2,75,overall,0.2579430450778791
trmf,0.2,75,w,0.4647334549202874
trmf,0.2,75,o,9.00915127586673e-05
trmf,0.2,76,overall,0.2578771870667028
trmf,0.2,76,w,0.46452211575675084
trmf,0.2,76,o,0.0001005011359268289
trmf,0.2,77,overall,0.25549916564516617
trmf,0.2,77,w,0.46069644337035365
trmf,0.2,77,o,9.278462556781857e-05
trmf,0.2,78,overall,0.26069056311536104
trmf,0.2,78,w,0.4694704639798796
trmf,0.2,78,o,9.743156305312665e-05
trmf,0.2,79,overall,0.26761999213039533
trmf,0.2,79,w,0.4817829894446729
trmf,0.2,79,o,8.35843272325806e-05
trmf,0.2,8,overall,0.2631952010873343
trmf,0.2,8,w,0.47417509372316885
trmf,0.2,8,o,9.504641672628278e-05
trmf,0.2,80,overall,0.26332500813158394
trmf,0.2,80,w,0.4743348330919634
trmf,0.2,80,o,9.154916828083435e-05
trmf,0.2,81,overall,0.2629781859458882
trmf,0.2,81,w,0.47389793012787823
trmf,0.2,81,o,9.309426593008783e-05
trmf,0.2,82,overall,0.2558058035745511
trmf,0.2,82,w,0.4608331433080659
trmf,0.2,82,o,8.699176966057728e-05
trmf,0.2,83,overall,0.25761426458118103
trmf,0.2,83,w,0.4636606376650046
trmf,0.2,83,o,8.930437330732292e-05
trmf,0.2,84,overall,0.2571291922117874
trmf,0.2,84,w,0.462981557210323
trmf,0.2,84,o,8.989850528572228e-05
trmf,0.2,85,overall,0.2661821744343763
trmf,0.2,85,w,0.479322590725748
trmf,0.2,85,o,9.671034405972559e-05
trmf,0.2,86,overall,0.25747720075849984
trmf,0.2,86,w,0.46382768991310047
trmf,0.2,86,o,9.695772076338665e-05
trmf,0.2,87,overall,0.260072317694584
