method,pdt,repl,type,mrae
latc,0.2,60,o,0.0043582642138376045
latc,0.2,61,overall,0.004376008929871011
latc,0.2,61,w,0.004500515154278133
latc,0.2,61,o,0.0042211210452298585
latc,0.2,62,overall,0.004269970731710097
latc,0.2,62,w,0.004217917830312487
latc,0.2,62,o,0.004334915059230269
latc,0.2,63,overall,0.004354937826568694
latc,0.2,63,w,0.004424675811190321
latc,0.2,63,o,0.004267821725200251
latc,0.2,64,overall,0.004265924718496878
latc,0.2,64,w,0.004230017936894869
latc,0.2,64,o,0.004310787022847256
latc,0.2,65,overall,0.004356581528015254
latc,0.2,65,w,0.004448875969809011
latc,0.2,65,o,0.004241335180632693
latc,0.2,66,overall,0.004376935697725987
latc,0.2,66,w,0.004488538379028286
latc,0.2,66,o,0.004238118948067207
latc,0.2,67,overall,0.004300690416447229
latc,0.2,67,w,0.004312834310051172
latc,0.2,67,o,0.004285543254332831
latc,0.2,68,overall,0.004333578144252668
latc,0.2,68,w,0.004386563016023801
latc,0.2,68,o,0.0042674604617094864
latc,0.2,69,overall,0.004315920113889524
latc,0.2,69,w,0.0043435659756959335
latc,0.2,69,o,0.004281447802568365
latc,0.2,7,overall,0.004273094576822888
latc,0.2,7,w,0.004216099841246692
latc,0.2,7,o,0.004344119097957381
latc,0.2,70,overall,0.004249847021835668
latc,0.2,70,w,0.004172043209118941
latc,0.2,70,o,0.004346920380415297
latc,0.2,71,overall,0.0042590427796605
latc,0.2,71,w,0.004168040646942485
latc,0.2,71,o,0.004372254006409183
latc,0.2,72,overall,0.004358316333813376
latc,0.2,72,w,0.004419339019586293
latc,0.2,72,o,0.004282255135024217
latc,0.2,73,overall,0.004340582574502874
latc,0.2,73,w,0.00439037065326916
latc,0.2,73,o,0.0042784002753441935
latc,0.2,74,overall,0.004347227668952212
latc,0.2,74,w,0.004422489009210856
latc,0.2,74,o,0.004253398805710384
latc,0.2,75,overall,0.004314460853873968
latc,0.2,75,w,0.004330354614706911
latc,0.2,75,o,0.004294642462986521
latc,0.2,76,overall,0.004233379288881839
latc,0.2,76,w,0.004124261348632637
latc,0.2,76,o,0.004369497127298396
latc,0.2,77,overall,0.004246779233411985
latc,0.2,77,w,0.004117990212663598
latc,0.2,77,o,0.0044070812513971195
latc,0.2,78,overall,0.004287664211945444
latc,0.2,78,w,0.00427733957880159
latc,0.2,78,o,0.004300551125254354
latc,0.2,79,overall,0.0042300656977673455
latc,0.2,79,w,0.004109655817228778
latc,0.2,79,o,0.004380483964728863
latc,0.2,8,overall,0.004324969706770647
latc,0.2,8,w,0.004334397546361969
latc,0.2,8,o,0.004313212823099416
latc,0.2,80,overall,0.004379057016202917
latc,0.2,80,w,0.0044933239183597125
latc,0.2,80,o,0.004236509758484447
